-------------------------------------------------------------------
--   Please use this file to keep track of which
--   mob TP moves have been scripted and tested!
--------------------------------------------------------------------

-- Goblin_Rush  =  done
-- Bomb_Toss  =  done
-- Bomb_Toss_Suicide  =  done
-- Foot_Kick  =  done
-- Dust_Cloud  =  done
-- Whirl_Claws  =  done
-- Lamb_Chop  =  done
-- Rage  = done
-- Sheep_Charge  =  done
-- Sheep_Bleat  = done
-- Sheep_Song  =
-- Rage  = done
-- Ram_Charge  =  done
-- Rumble  =  done
-- Great_Bleat  =  done
-- Petribreath  =  done
-- Roar  =  done
-- Razor_Fang  =  done
-- Claw_Cyclone  =  done
-- Sonic_Wave  = done
-- Stomping  = done
-- Cold_Stare  = done
-- Whistle  =  done
-- Berserk  = done
-- Healing_Breeze  =  done
-- Magic Fruit  =  done
-- Spinning Claw  =  done
-- Spinning Attack =  done
-- Eye_Scratch  =  done
-- Vicious_Claw  =  done
-- Dream_Flower  =
-- Scratch  =  done
-- Triple_Attack  =  done
-- Wild_Oats  =  done
-- Photosynthesis  =  done
-- Leaf_Dagger  = done
-- Impale  =  done
-- Vampiric_Lash  =  done
-- Bad_Breath  =  done
-- Needleshot  =  
-- 1000_Needles  =  done
-- Frogkick  =  done
-- Spore  =  done
-- Queasyshroom  =  done
-- Drill_Branch  =  done
-- Pinecone_Bomb  =
-- Leafstorm  =  done
-- Entangle  =  done
-- Final_Sting  =  done
-- Pollen  =  done
-- Sharp_Sting  =
-- Power_Attack  =  done
-- Hi-Freq_Field  = done
-- Rhino_Attack  =
-- Cocoon  = done
-- Poison_Breath  =  done
-- Sticky_Thread  = done
-- Mandible_Bite  = done
-- Death_Scissors  = done
-- Wild_Rage  = done
-- Earth_Pounder  = done
-- Filamented_Hold  = done
-- Spinning_Top  =  done
-- Tail_Blow  = done
-- Fireball  =  done
-- Blockhead  =  done
-- Brain_Crush  =  done
-- Infrasonics  =  done
-- Chomp_Rush  = done
-- Frost_Breath  = done
-- Scythe_Tail  = done
-- Blood_Drain  =  done
-- Jet_Stream  =  done
-- Stormwind  =  done
-- Sound_Vacuum  =  done
-- Hammer_Beak  =  done
-- Poison_Pick  =  done
-- Suction  =  done
-- Acid_Mist  = done
-- Sand_Breath  = done
-- Drainkiss  = done
-- Full-force_Blow  =  done
-- Gastric_Bomb  =  done
-- Sandspin  =  done
-- Tremors  =  done
-- Fluid_Spread  =  done
-- Fluid_Toss  =
-- Death_Ray  =  done
-- Hex_Eye  =  done
-- Big_Scissors  =  done
-- Bubble_Curtain  =
-- Bubble_Shower  =  done
-- Metallic_Body  =  done
-- Screwdriver  =  done
-- Maelstrom  =  done
-- Howling  =  done
-- Poison_Breath  = done
-- Rot_Gas  =  done
-- Curse  =  done
-- Terror_Touch  = done
-- Ectosmash  =  done
-- Hell_Slash  =  done 
-- Horror_Cloud  =  done
-- Black_Cloud  =  done
-- Blaster  =  done
-- Chaotic_Eye  =  done
-- Stinking_Gas  =  done
-- Undead_Mold  =  done
-- Abyss_Blast  =  done
-- Self-Destruct  =
-- Smite_of_Rage  = done
-- Whirl_of_Rage  = done
-- Mysterious_Light  =  done
-- Double_Ray  =  done
-- Blitzstrahl  =  done
-- Panzerfaust  =  done
-- Typhoon  =  done
-- Eyes_on_Me  =
-- Blindeye  =  done
-- Soul_Drain  =  done
-- Hecatomb_Wave  =  done
-- Battle_Dance  =  done
-- Slam_Dunk  = done
-- Aerial_Wheel  = done
-- Shoulder_Attack  = done
-- Head_Butt  = done 
-- Double_Kick  =
-- Sweep  =
-- Helldive  =
-- Wing_Cutter  = done
-- Wild_Horn  =
-- Thunderbolt  =
-- Kick_Out  =
-- Shock_Wave  =
-- Flame_Armor  =
-- Howl  =
-- Wind_Breath  =
-- Body_Slam  =
-- Heavy_Stomp  =
-- Cursed_Sphere  = done
-- Venom  = done
-- Impact_Roar  =  done
-- Grand_Slam  =  done
-- Heavy_Strike  =  done
-- Ice_Break  =  done
-- Thunder_Break  =  done
-- Crystal_Rain  =  done
-- Sprout_Spin  = done
-- Slumber_Powder  = done
-- Sprout_Smack  =
-- Bludgeon  =
-- Hydroball  =
-- Hydro_Shot  = done
-- Words_of_Bane  =
-- Light_of_Penance  =
-- Lateral_Slash  =
-- Vertical_Slash  =
-- Throat_Stab  =
-- Everyones_Grudge  =
-- Words_of_Bane  =
-- Light_of_Penance  =
-- Lateral_Slash  =
-- Vertical_Slash  =
-- Throat_Stab  =
-- Everyones_Grudge  =
-- Magnetite_Cloud  = done
-- Sandstorm  = done
-- Deadly_Hold  =  done
-- Tail_Swing  =  done
-- Tail_Smash  =  done
-- Heat_Breath  =  done
-- Riddle  =  done
-- Great_Sandstorm  =  done
-- Great_Whirlwind  =  done
-- Head_Butt_Turtle  =  done
-- Tortoise_Stomp  =  done
-- Harden_Shell  =  done
-- Earth_Breath  =  done
-- Aqua_Breath  =  done
-- Sickle_Slash  = done
-- Acid_Spray  = done
-- Spider_Web  = done
-- Deadly_Drive  = done
-- Fang_Rush  =  done
-- Dread_Shriek  =  done
-- Dread_Dive  =  done
-- Tail_Crush  =  done
-- Radiant_Breath  =  done
-- Dispelling_Wind  =
-- Wind_Wall  =  done
-- Earthshock  =
-- Triclip  =
-- Back_Swish  =
-- Mow  =
-- Frightful_Roar  =
-- Mortal_Ray  =
-- Refueling  =
-- Circle_of_Flames  =
-- Refueling  =
-- Circle_of_Flames  =
-- Gas_Shell  =  done
-- Freeze_Rush  =  done
-- Cold_Wave  =  done
-- Hypothermal_Combusti  =
-- Envoutement  =  done
-- Hurricane_Wing  =  done
-- Spike_Flail  = done
-- Dragon_Breath  =
-- Forceful_Blow  =  done
-- Somersault_Kick  =  done
-- Firespit  =
-- Warm-Up  =
-- Yawn  =
-- Wing_Slap  =
-- Beak_Lunge  =
-- Frenetic_Rip  =
-- Abrasive_Tantara  =
-- Deafening_Tantara  =
-- Frenetic_Rip  =
-- Abrasive_Tantara  =
-- Deafening_Tantara  =
-- Zephyr_Mantle  =
-- Obfuscate  =
-- Wind_Shear  =
-- Crosswind  =
-- Spinal_Cleave  =
-- Mangle  =
-- Leaping_Cleave  =
-- Spinal_Cleave  =
-- Mangle  =
-- Leaping_Cleave  =
-- Spinal_Cleave  =
-- Mangle  =
-- Leaping_Cleave  =
-- Lava_Spit  =
-- Sulfurous_Breath  =
-- Scorching_Lash  =
-- Ululation  =
-- Magma_Hoplon  =
-- Gates_of_Hades  =
-- Spiral_Spin  =
-- Zephyr_Arrow  =
-- Lethe_Arrows  =
-- Cyclonic_Turmoil  =
-- Cyclonic_Torrent  =
